symbol,ltp,change,change_p,open,high,low,prev_close,52w_high,52w_low,volume,longName,industry,sector,fullExchangeName,website,city,marketCap,regularMarketTime,currentPrice,dayHigh,dayLow,previousClose,regularMarketChange,regularMarketChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,averageVolume,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,totalCash,totalDebt,totalRevenue,returnOnEquity,profitMargins,bookValue,priceToBook,trailingPE,forwardPE,trailingEps,dividendYield,payoutRatio,lastSplitFactor,lastSplitDate,beta
MARUTI,13726.0,-44.0,-0.31953523,13672.0,13789.0,13626.0,13770.0,17370.0,12016.0,270487,Maruti Suzuki India Limited,Auto Manufacturers,Consumer Cyclical,NSE,https://www.marutisuzuki.com,New Delhi,4315489501184,1778234400,13726.0,13789.0,13626.0,13770.0,-44.0,-0.31953523,12016.0,17370.0,13205.32,14964.955,528154,314402574,0.59685004,0.27798,173457997824,1025000000,1833160015872,0.14434,0.08008,3408.267,4.0272665,29.412018,21.978214,466.68,1.02,0.2891,,,0.309
BEL,439.7,0.25,0.05688929,439.0,443.8,437.8,439.45,473.45,316.2,11160496,Bharat Electronics Limited,Aerospace & Defense,Industrials,NSE,https://www.bel-india.in,Bengaluru,3214109835264,1778234403,439.7,443.8,437.8,439.45,0.25,0.05688929,316.2,473.45,437.228,415.14075,15988008,7309778829,0.53198004,0.25948,81165197312,588899968,265352708096,,0.22475,29.476,14.917221,53.753056,44.747944,8.18,0.99,0.2941,3:1,1663200000,0.304
HCLTECH,1198.4,15.0,1.2675343,1179.8,1202.8,1176.8,1183.4,1780.1,1176.8,2813164,HCL Technologies Limited,Information Technology Services,Technology,NSE,https://www.hcltech.com,Noida,3242453893120,1778234400,1198.4,1202.8,1176.8,1183.4,15.0,1.2675343,1176.8,1780.1,1339.568,1498.0155,4464500,2705652444,0.6266,0.27616,3204999936,550000000,14663999488,0.23357001,0.128,277.6183,4.3167186,19.53064,14.961042,61.36,8.01,0.8801,2:1,1575504000,0.066
SHRIRAMFIN,1007.75,-7.9000244,-0.7778294,1013.0,1013.35,1001.25,1015.65,1108.0,566.5,5754888,Shriram Finance Limited,Credit Services,Financial Services,NSE,https://shriramfinance.in,Mumbai,2371064954880,1778234399,1007.75,1013.35,1001.25,1015.65,-7.9000244,-0.7778294,566.5,1108.0,981.454,854.572,7482816,2352830568,0.22121,0.59254,126271897600,1812713963520,207082094592,0.16382,0.48407,350.437,2.875695,18.93911,14.51705,53.21,1.37,0.14649999,5:1,1736467200,0.628
TATASTEEL,214.49,-2.5999908,-1.1976558,217.0,217.4,214.25,217.09,219.2,144.5,17756038,Tata Steel Limited,Steel,Basic Materials,NSE,https://www.tatasteel.com,Mumbai,2675086721024,1778234400,214.49,217.4,214.25,217.09,-2.5999908,-1.1976558,144.5,219.2,202.429,183.0957,31991935,12471847611,0.35527,0.33932,84856102912,956431269888,2250879270912,,0.04073,76.221,2.814054,29.142664,12.327012,7.36,1.68,0.4898,10:1,1658966400,0.791
ONGC,279.2,-4.6999817,-1.6555061,283.6,284.0,278.6,283.9,307.5,228.61,9288468,Oil and Natural Gas Corporation Limited,Oil & Gas Integrated,Energy,NSE,https://www.ongcindia.com,New Delhi,3512414240768,1778234401,279.2,284.0,278.6,283.9,-4.6999817,-1.6555061,228.61,307.5,280.971,254.76765,22591746,12580279206,0.69208,0.22825001,502678290432,1760177946624,6559959089152,,0.057979997,292.589,0.95423967,9.232804,6.66406,30.24,6.63,0.4051,3:2,1481760000,0.191
JIOFIN,249.34,-1.6800079,-0.66927254,250.98,251.49,248.3,251.02,338.6,223.3,11357152,Jio Financial Services Limited,Asset Management,Financial Services,NSE,https://www.jfs.in,Mumbai,1646427373568,1778234400,249.34,251.49,248.3,251.02,-1.6800079,-0.66927254,223.3,338.6,242.7148,286.20294,19002684,6603141623,0.46442002,0.20820999,35982901248,217989398528,27019999232,0.012130001,0.57768,211.436,1.1792693,103.03305,56.797268,2.42,0.2,0.2075,,,0.645
HINDALCO,1044.4,-11.299927,-1.0703729,1048.4,1058.0,1035.3,1055.7,1080.0,618.0,3065615,Hindalco Industries Limited,Aluminum,Basic Materials,NSE,https://www.hindalco.com,Mumbai,2335438274560,1778234401,1044.4,1058.0,1035.3,1055.7,-11.299927,-1.0703729,618.0,1080.0,967.42,859.99023,6295839,2236153208,0.36443,0.36189997,252580003840,776500019200,2617010028544,,0.06143,607.505,1.7191628,14.451364,11.868182,72.27,0.48,0.0692,10:1,1125360000,0.818
BAJAJFINSV,1818.3,-6.199951,-0.33981645,1824.5,1827.2,1802.5,1824.5,2195.0,1597.0,719568,Bajaj Finserv Ltd.,Financial Conglomerates,Financial Services,NSE,https://www.bajajfinserv.in,Pune,2904729321472,1778234402,1818.3,1827.2,1802.5,1824.5,-6.199951,-0.33981645,1597.0,2195.0,1776.462,1964.766,1314492,1597497155,0.63925,0.14611,176180396032,3613785063424,1492341227520,0.14602,0.06568,487.988,3.7261162,30.396189,19.367203,59.82,0.07,0.0167,5:1,1663027200,0.357
TMPV,355.45,-3.7999878,-1.0577558,356.0,357.45,353.7,359.25,419.0,294.3,4615005,Tata Motors Passenger Vehicles Limited,Auto Manufacturers,Consumer Cyclical,NSE,https://www.tatamotors.com,Mumbai,1308921823232,1778234400,355.45,357.45,353.7,359.25,-3.7999878,-1.0577558,294.3,419.0,341.402,359.75363,10217953,3682435640,0.44152,0.24053,469260009472,672579977216,4021130100736,,0.21158001,300.66,1.1822325,33.43838,9.431541,10.63,1.69,0.56439996,,,0.775
